number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
1,1,0,155,789,26,10,8,40,96,188289,1648,11,24,1,9246,1,3,0,16.2,0,0,0.472222,1,146,0.166667,11,0,39,0,32,0,103,29,0,11366,1.0,1,9,0,16,93,15.0,1,1624,1,27,4,165,285,93,40,0,7348,0,7,162,0,0,275,10,True
3,9,0,155,789,1,12,12,40,0,188289,131,12,1,0,9246,2,0,0,2.0,0,1,0.611111,0,5,0.25,12,0,25,0,0,0,2,57,0,11604,0.681818,0,0,5,1,0,1.75,0,17,0,2,0,21,580,0,0,0,7348,7,2,6,0,0,484,3,False
1,4,0,155,789,23,20,13,40,12,188289,1078,20,17,0,9246,1,0,0,11.0,1,2,0.484848,0,49,0.692308,20,0,52,0,13,2,19,34,2,9229,0.908587,0,15,0,16,14,10.55,7,852,0,6,0,211,318,12,0,0,7348,0,5,176,0,0,256,16,True
1,0,0,155,789,18,17,10,40,3,188289,1128,17,17,0,9246,1,1,0,8.352941,1,1,0.454545,0,13,1,17,0,42,0,0,0,17,10,1,2359,0.886029,0,16,0,10,2,8.352941,5,1128,2,17,0,142,91,2,0,0,7348,0,14,142,0,0,80,17,True
1,8,0,155,789,137,62,33,40,49,188289,4491,62,78,0,9246,1,0,0,8.418182,9,0,0.375758,0,174,0.72973,63,1,231,0,63,16,132,49,4,15070,0.972752,0,54,0,54,65,7.666667,7,4361,23,59,6,483,750,49,4,1,7348,0,67,463,0,0,601,55,True
2,5,0,66,1171,9,23,22,42,2,312068,510,23,10,0,10384,1,1,0,2.111111,0,6,0.785714,0,8,0.73913,23,0,38,0,0,0,7,16,1,7166,0.779221,1,16,1,7,1,1.869565,0,440,0,2,4,43,371,1,1,0,8750,0,5,38,1,0,299,18,True
3,0,0,66,1171,0,3,3,42,3,312068,38,3,1,0,10384,1,0,0,1.0,0,4,1.0,0,0,0.272727,3,0,3,0,0,5,8,7,0,1194,1.0,0,0,0,0,8,1.0,0,38,0,0,0,3,47,3,8,0,8750,0,0,3,0,0,47,3,False
1,0,0,66,1171,0,1,1,42,0,312068,57,1,4,0,10384,1,0,0,1.0,0,4,1.0,0,0,0.142857,1,0,1,0,0,6,6,7,1,1194,0.0,0,0,0,0,6,1.0,0,57,0,0,0,1,47,0,6,0,8750,0,0,1,1,0,47,1,False
2,2,0,66,1171,39,19,15,42,19,312068,1032,20,31,1,10384,3,0,0,5.96,1,4,0.490476,4,26,0.933333,27,4,162,3,14,1,31,138,0,27590,0.954094,5,23,5,17,20,5.666667,4,1014,3,16,1,153,1151,19,0,7,8750,64,11,149,24,0,961,25,True
1,6,0,66,1171,0,7,0,42,0,312068,106,7,1,0,10384,1,0,0,1.0,0,5,0.0,0,0,0,7,0,7,0,0,0,6,66,0,10542,1.0,0,0,0,0,0,1.0,0,53,7,6,0,7,826,0,0,0,8750,0,6,1,0,0,754,1,False
1,8,0,66,1171,0,9,8,42,0,312068,118,9,0,0,10384,1,0,0,1.0,0,0,0.142857,0,0,0,9,0,9,0,0,0,4,13,1,4557,0.875,0,0,0,0,0,1.0,0,6,1,4,0,9,116,0,0,0,8750,0,4,1,0,0,84,1,False
5,6,0,66,1171,0,11,6,42,0,312068,142,11,0,0,10384,1,0,0,1.0,0,0,0.0,0,0,0,11,0,11,0,0,6,6,13,1,4557,1.0,0,0,0,0,6,1.0,0,92,5,6,0,11,116,0,0,0,8750,0,0,5,0,0,84,5,False
1,16,0,66,1171,62,79,50,42,3,312068,3547,81,21,2,10384,2,0,0,4.686567,2,12,0.392888,2,26,0,83,2,155,0,12,0,22,49,0,19441,0.953437,13,66,0,18,3,4.951807,14,2997,6,5,5,411,882,3,0,2,8750,0,19,314,3,0,726,67,True
1,2,0,66,1171,23,16,10,42,24,312068,1052,17,24,1,10384,5,0,0,6.0,0,2,0.346154,1,20,0.9,17,0,240,0,0,0,65,24,0,6943,0.936538,4,14,5,12,24,5.411765,3,1031,0,65,0,92,292,24,0,0,8750,125,41,90,0,0,244,15,True
1,2,0,66,1171,35,36,30,42,3,312068,1699,39,25,3,10384,4,0,0,6.108108,1,1,0.334454,3,12,0.933333,39,0,220,0,1,0,11,2,0,2325,0.966507,6,36,2,16,3,5.846154,3,1676,0,5,5,228,89,3,0,0,8750,92,8,226,0,0,75,37,True
2,8,0,66,1171,0,10,10,42,1,312068,182,10,0,0,10384,1,0,0,1.0,0,5,0.142857,0,0,0.2,10,0,10,0,0,0,5,66,2,19469,0.933333,0,0,0,0,1,1.0,0,78,0,4,1,10,800,1,0,0,8750,0,4,2,0,0,694,2,False
2,11,0,66,1171,17,44,43,42,0,312068,1404,44,12,0,10384,2,0,0,3.558824,0,3,0.44367,0,13,0.744186,45,1,69,0,0,0,15,28,2,9478,0.913636,1,32,1,10,0,3.133333,1,1157,0,12,3,141,319,0,0,1,8750,12,15,121,0,0,229,34,True
0,0,0,65,606,2,2,2,85,0,69698,14,2,5,0,5527,1,0,0,1.0,0,3,0.0,0,3,1,2,0,6,0,0,0,0,3,1,608,0.0,0,2,0,2,0,1.0,0,14,0,0,0,2,50,0,0,0,2783,0,0,2,0,0,40,2,False
1,6,0,65,606,4,10,10,85,0,69698,78,10,7,0,5527,2,0,0,1.0,0,0,0.166667,0,2,0.4,10,0,20,0,0,0,4,2,0,145,0.861111,0,3,0,4,0,1.0,0,33,0,4,0,10,14,0,0,0,2783,4,4,4,0,0,8,4,False
1,22,0,65,606,0,23,17,85,2,69698,292,23,0,0,5527,1,0,0,1.0,0,0,0.044118,0,0,0,23,0,23,0,0,0,13,2,0,475,0.968531,1,0,0,0,2,1.0,5,69,0,11,0,23,43,2,2,0,2783,0,11,1,0,0,5,1,False
0,22,0,65,606,0,23,23,85,1,69698,224,23,0,0,5527,1,0,1,0.0,0,0,0.047619,0,0,0,22,0,22,0,0,0,12,1,0,224,0.960317,0,0,0,0,1,1.0,0,8,0,11,0,22,22,1,1,0,2783,0,11,0,0,0,0,0,False
0,10,0,65,606,0,11,11,85,3,69698,89,11,0,0,5527,1,0,1,0.0,0,0,0.111111,0,0,0,10,0,10,0,0,0,8,9,0,1119,0.972222,0,0,0,0,3,1.0,0,9,0,5,0,10,136,3,3,0,2783,0,5,0,0,0,10,0,False
1,14,0,65,606,0,15,15,85,4,69698,115,15,0,0,5527,1,0,0,1.0,0,0,0.076923,0,0,0.052632,15,0,15,0,0,0,11,9,0,1119,0.980519,0,0,0,0,4,1.0,0,3,0,7,0,15,136,4,4,0,2783,0,7,1,0,0,10,1,False
0,8,0,65,606,0,9,9,85,2,69698,70,9,0,0,5527,1,0,1,0.0,0,0,0.142857,0,0,0,8,0,8,0,0,0,6,9,0,1119,0.952381,0,0,0,0,2,1.0,0,6,0,4,0,8,136,2,2,0,2783,0,4,0,0,0,10,0,False
0,17,0,65,606,103,74,70,85,1,69698,1890,75,43,1,5527,1,1,0,4.913793,1,2,0.402899,1,110,0.757143,75,0,264,0,0,0,15,6,1,2701,0.926126,0,58,0,38,0,4.026667,5,1767,0,15,0,302,156,0,0,0,2783,0,14,285,0,0,126,58,True
1,18,0,65,606,96,82,68,85,0,69698,1817,82,48,0,5527,1,0,0,4.421875,0,4,0.41396,0,90,0.735294,82,0,249,0,0,0,19,3,1,2443,0.905783,1,63,0,39,0,3.682927,13,1678,0,19,0,302,144,0,0,0,2783,0,19,283,0,0,126,64,True
2,12,0,54,465,5,26,26,22,29,171667,1055,35,2,9,7652,1,1,0,6.1,0,1,0.224638,9,10,0.368421,42,7,47,0,0,0,54,3,1,1190,0.978771,0,28,0,2,28,4.642857,16,986,0,42,0,195,56,28,12,7,6749,0,25,183,0,0,44,30,True
1,0,0,54,465,36,36,42,22,0,171667,1527,43,37,7,7652,3,0,0,7.488372,0,3,0.063879,7,47,0.976744,43,0,183,0,0,1,1,28,0,12014,0.833333,0,42,10,10,1,7.488372,0,1527,1,0,0,322,710,0,1,0,6749,87,0,322,0,0,660,43,True
1,0,0,54,465,90,10,0,22,0,171667,1147,11,77,1,7652,3,0,0,14.636364,0,12,0.0,1,89,0,11,0,427,0,0,0,0,106,0,69768,0.0,0,10,0,30,0,14.636364,2,1147,9,0,0,161,2620,0,0,0,6749,183,0,161,1,0,2196,11,True
2,10,0,54,465,152,66,23,22,1,171667,2216,67,56,1,7652,2,0,0,7.035088,0,12,0.414966,1,100,0.484848,67,0,268,0,0,0,36,106,0,69768,0.919613,0,55,28,38,1,6.298507,16,2100,28,19,7,422,2620,1,10,0,6749,20,35,401,0,0,2196,57,True
7,1,0,54,465,63,35,6,22,0,171667,1836,37,56,2,7652,2,0,0,12.916667,0,12,0.005848,2,68,0.833333,37,0,219,0,0,0,2,106,0,69768,1.0,1,29,7,19,0,12.648649,11,1825,19,0,2,468,2620,0,0,0,6749,71,2,465,1,0,2196,36,True
1,1,0,54,465,69,6,8,22,67,171667,2084,10,68,4,7652,3,0,0,56.0,0,12,0.277778,4,181,0.583333,10,0,237,0,0,0,70,106,0,69768,0.844444,0,8,5,28,67,50.8,1,2043,1,64,2,508,2620,67,4,0,6749,79,3,504,0,0,2196,9,True
1,0,0,54,465,193,84,0,22,3,171667,4973,86,108,2,7652,5,0,0,8.081395,0,12,0.005445,2,332,0,86,0,755,0,0,0,3,106,0,69768,0.968627,0,85,1,50,3,8.081395,27,4973,59,0,3,695,2620,3,0,0,6749,220,0,695,1,0,2196,86,True
2,13,0,54,465,0,20,17,22,0,171667,99,20,2,0,7652,1,0,0,1.142857,0,12,0.130719,0,2,0.352941,20,0,20,0,4,0,10,106,0,69768,0.942105,2,5,0,0,0,1.05,0,32,1,6,0,21,2620,0,0,0,6749,0,10,8,1,0,2196,7,False
3,14,0,54,465,75,74,23,22,13,171667,1854,81,48,7,7652,1,0,0,5.507463,0,12,0.43956,7,79,0.814815,81,0,163,0,5,0,28,106,1,69768,0.956696,1,64,1,32,13,4.814815,0,1731,57,1,18,390,2620,13,4,0,6749,0,15,369,12,0,2196,67,True
4,2,0,54,465,99,16,3,22,0,171667,1268,19,52,3,7652,2,0,0,14.411765,0,12,0.285714,3,123,1,19,0,181,0,0,0,4,106,0,69768,1.0,0,13,1,41,0,13.526316,8,1217,8,0,4,257,2620,0,0,0,6749,33,4,245,1,0,2196,17,True
2,1,0,54,465,0,3,0,22,8,171667,47,3,1,0,7652,1,0,0,1.0,0,12,1.0,0,0,0,3,0,3,0,0,0,17,106,0,69768,1.0,0,0,0,0,8,1.0,0,33,3,0,9,3,2620,8,8,0,6749,0,9,2,1,0,2196,2,False
5,0,0,54,465,77,19,1,22,0,171667,1261,22,57,3,7652,3,0,0,9.0,0,12,0.073529,3,77,1,22,0,224,0,0,0,4,106,0,69768,0.952381,0,17,0,31,0,9.0,0,1261,21,0,4,198,2620,0,0,0,6749,58,4,198,2,0,2196,22,True
2,31,0,54,465,42,61,57,22,9,171667,1012,67,36,6,7652,1,0,0,3.972222,0,12,0.15625,6,63,0.430769,67,0,123,0,0,1,40,106,1,69768,0.972348,0,34,0,25,10,2.597015,1,849,9,4,28,174,2620,9,8,0,6749,0,30,143,0,0,2196,36,True
1,0,0,54,465,158,73,0,22,1,171667,6908,73,73,0,7652,3,0,0,6.794521,0,0,0.006036,0,123,0,73,0,396,0,0,0,1,4,0,10893,0.944444,1,72,1,49,1,6.794521,1,6908,71,0,1,496,123,1,0,0,6749,34,0,496,0,0,121,73,True
1,10,0,54,465,43,61,46,22,1,171667,1606,61,21,0,7652,1,0,0,4.235294,1,1,0.235028,0,25,0.782609,61,0,110,0,5,14,22,5,1,2931,0.960606,0,50,0,15,15,3.704918,0,1544,15,8,9,226,188,1,0,0,6749,0,7,216,1,0,168,51,True
1,0,0,90,338,57,9,8,29,3,92696,429,9,26,0,5983,1,2,0,5.555556,0,0,0.642857,0,36,1,9,0,75,0,0,0,4,21,0,9721,0.78125,0,8,0,23,1,5.555556,0,429,1,4,0,50,166,1,0,0,4284,0,1,50,0,0,165,9,True
1,1,0,90,338,137,3,3,29,2,92696,413,3,22,0,5983,1,1,0,67.5,0,0,1.0,0,8,0.666667,3,0,140,0,5,1,18,21,1,9721,0.972222,0,1,0,21,2,45.333333,0,407,0,13,0,136,166,1,0,0,4284,0,15,135,0,0,165,2,True
0,4,0,90,338,0,5,2,29,0,92696,20,5,0,0,5983,1,0,1,0.0,0,7,0.333333,0,0,0,4,0,4,0,0,0,2,22,0,6260,0.666667,0,0,0,0,0,1.0,0,0,3,0,2,4,600,0,0,0,4284,0,2,0,0,0,492,0,False
0,6,0,90,338,0,7,7,29,0,92696,28,7,0,0,5983,1,0,1,0.0,0,7,0.2,0,0,0,6,0,6,0,0,0,3,22,0,6260,0.8,0,0,0,0,0,1.0,0,28,0,3,0,6,600,0,0,0,4284,0,3,0,0,0,492,0,False
1,0,0,90,338,0,1,0,29,17,92696,69,1,0,0,5983,1,0,0,1.0,0,1,1.0,0,0,0,1,0,1,0,0,0,17,11,0,3562,0.0,0,0,0,0,17,1.0,1,69,0,0,0,1,432,17,17,0,4284,0,0,1,0,0,431,1,False
1,0,0,90,338,0,1,0,29,42,92696,79,1,0,0,5983,1,0,0,1.0,0,1,1.0,0,0,0,1,0,1,0,0,0,42,11,0,3562,0.0,0,0,0,0,42,1.0,1,79,0,0,0,1,432,42,42,0,4284,0,0,1,0,0,431,1,False
0,14,0,90,338,0,15,15,29,0,92696,59,15,0,0,5983,1,0,1,0.0,0,20,0.076923,0,0,0,14,0,14,0,0,0,7,32,0,5272,0.923077,0,0,0,0,0,1.0,0,59,0,7,0,14,1009,0,0,0,4284,0,7,0,0,0,426,0,False
0,42,0,90,338,0,43,43,29,5,92696,204,43,1,0,5983,1,0,1,0.0,0,20,0.02439,0,0,0,42,0,42,0,0,0,26,32,0,5272,0.984991,0,0,0,0,5,1.0,0,204,0,21,0,42,1009,5,5,0,4284,0,21,0,0,0,426,0,False
0,14,0,90,338,0,14,14,29,0,92696,59,14,0,0,5983,1,0,0,0.0,0,20,0.076923,0,0,0,14,0,14,0,0,0,7,32,0,5272,0.923077,0,0,0,0,0,1.0,0,59,0,7,0,14,1009,0,0,0,4284,0,7,0,0,0,426,0,False
1,0,0,31,121,23,1,10,10,1,18172,561,16,9,15,1271,1,0,0,3.5,5,1,0.622222,15,0,1,16,0,42,0,0,0,1,6,0,613,0.866667,0,15,0,14,1,3.5,6,561,0,1,0,56,28,1,0,0,982,0,0,56,0,0,25,16,True
0,7,0,31,121,2,11,10,10,0,18172,90,11,2,0,1271,1,0,1,1.0,0,6,0.133333,0,0,0.3,10,0,12,0,0,0,4,17,1,2286,0.861111,0,3,0,1,0,1.4,0,21,1,4,0,14,128,0,0,0,982,0,4,3,0,0,102,3,False
1,0,0,31,121,47,31,24,10,3,18172,1142,31,27,0,1271,1,0,0,4.451613,2,0,0.405797,0,6,1,31,0,82,0,0,4,9,38,1,5146,0.811111,0,30,0,23,7,4.451613,6,1142,1,8,1,138,397,3,0,0,982,0,2,138,0,0,247,31,True
1,6,0,31,121,1,7,0,10,0,18172,33,7,3,0,1271,2,0,0,1.0,0,0,0.2,0,1,0,7,0,25,0,0,0,3,38,0,5146,0.833333,0,0,0,1,0,1.0,0,3,7,3,0,7,397,0,0,0,982,17,3,1,0,0,247,1,False
1,7,0,31,121,0,8,0,10,0,18172,38,8,1,0,1271,1,0,0,1.0,0,0,0.142857,0,0,0,8,0,8,0,0,0,4,38,0,5146,0.892857,0,0,0,0,0,1.0,0,3,8,4,0,8,397,0,0,0,982,0,4,1,0,0,247,1,False
1,11,0,31,121,0,12,0,10,0,18172,56,12,2,0,1271,1,0,0,1.0,0,0,0.090909,0,1,0,12,0,12,0,0,0,6,38,0,5146,0.924242,0,0,0,0,0,1.0,0,1,12,6,0,12,397,0,0,0,982,0,6,1,0,0,247,1,False
1,13,0,31,121,0,14,0,10,0,18172,65,14,2,0,1271,1,0,0,1.0,0,0,0.076923,0,2,0,14,0,14,0,0,0,7,38,0,5146,0.934066,0,0,0,0,0,1.0,0,0,14,7,0,14,397,0,0,0,982,0,7,1,0,0,247,1,False
1,9,0,31,121,0,10,0,10,0,18172,47,10,1,0,1271,1,0,0,1.0,0,0,0.111111,0,0,0,10,0,10,0,0,0,5,38,0,5146,0.911111,0,0,0,0,0,1.0,0,2,10,5,0,10,397,0,0,0,982,0,5,1,0,0,247,1,False
2,6,0,38,497,4,8,8,24,0,117757,85,8,13,0,5768,3,0,0,2.0,0,0,0.0,0,4,0.25,8,0,58,0,0,0,0,6,0,453,0.0,0,0,0,3,0,1.25,0,21,0,0,0,10,35,0,0,0,4374,43,0,4,0,0,20,2,False
1,20,0,38,497,2,24,25,24,1,117757,214,25,3,1,5768,1,0,0,1.6,0,0,0.202899,1,2,0.192308,25,0,29,0,0,0,11,24,0,3513,0.882576,0,4,1,1,1,1.12,0,114,0,10,0,28,212,1,1,0,4374,0,10,8,0,0,154,5,False
1,6,0,38,497,2,7,7,24,0,117757,77,7,15,0,5768,3,0,0,1.0,0,0,0.0,0,6,0.142857,7,0,55,0,0,0,0,13,0,738,0.0,0,0,0,1,0,1.0,0,3,0,0,0,7,62,0,0,0,4374,43,0,1,0,0,23,1,False
1,6,0,38,497,2,7,7,24,0,117757,76,7,14,0,5768,3,0,0,1.0,0,0,0.0,0,6,0.142857,7,0,55,0,0,0,0,13,0,738,0.0,0,0,0,1,0,1.0,0,3,0,0,0,7,62,0,0,0,4374,43,0,1,0,0,23,1,False
2,54,0,38,497,49,89,102,24,25,117757,1950,105,38,16,5768,2,1,0,3.960784,0,8,0.04601,16,14,0,105,0,154,0,34,0,65,42,0,13290,0.993047,2,49,0,27,24,2.504762,1,1339,0,6,1,263,817,24,24,0,4374,0,40,202,7,0,592,51,True
1,0,0,38,497,1,1,1,24,15,117757,38,1,3,0,5768,5,0,0,1.0,0,0,1.0,0,0,0.066667,1,0,12,0,0,0,15,10,0,916,0.0,0,0,0,1,15,1.0,0,38,0,1,0,1,55,15,14,0,4374,63,0,1,0,0,53,1,False
2,9,0,38,497,1,12,12,24,0,117757,147,12,2,0,5768,1,0,0,1.0,0,4,0.0,0,0,0.25,12,0,13,0,0,0,10,54,0,2936,1.0,0,1,0,1,0,1.0,0,57,0,0,10,12,197,0,0,0,4374,0,10,3,0,0,179,3,False
1,37,0,38,497,56,57,56,24,16,117757,1562,63,23,6,5768,1,0,0,8.307692,0,11,0.311475,6,63,0.289855,63,0,168,0,32,0,55,245,0,73431,0.959531,6,25,0,20,16,4.174603,1,1079,0,10,0,263,3557,16,13,0,4374,0,39,216,0,0,2644,26,True
1,18,0,38,497,178,62,18,24,0,117757,1635,64,93,2,5768,3,0,0,7.282609,1,11,0.330216,2,126,0.444444,64,0,555,0,14,0,22,245,0,73431,0.955267,4,45,17,50,0,5.8125,4,1395,38,1,7,372,3557,0,0,0,4374,154,22,335,0,0,2644,46,True
1,25,0,38,497,227,76,18,24,2,117757,2345,76,65,0,5768,2,0,0,7.117647,4,11,0.405045,0,163,0.722222,76,0,420,0,45,0,49,245,0,73431,0.961088,11,50,10,60,2,5.171053,0,2147,47,1,3,393,3557,2,0,0,4374,35,47,363,0,0,2644,51,True
2,8,0,38,497,47,40,12,24,1,117757,1513,42,29,2,5768,2,0,0,7.352941,3,11,0.356275,2,26,0.5,42,0,167,0,27,0,28,245,0,73431,0.924216,14,32,1,20,1,6.5,1,1371,15,0,1,273,3557,1,0,0,4374,67,27,250,2,0,2644,34,True
12,19,0,38,497,133,114,101,24,4,117757,3585,138,39,24,5768,1,1,0,5.858333,1,11,0.468492,24,169,0.833333,139,1,302,0,28,0,46,245,1,73431,0.977158,21,108,0,35,3,5.338129,9,3336,8,13,4,742,3557,3,1,1,4374,0,42,703,1,0,2644,120,True
0,4,0,30,764,0,7,7,35,0,120720,79,7,0,0,4305,1,0,0,1.0,0,0,0.238095,0,0,0.428571,7,0,7,0,0,0,3,6,1,467,0.777778,0,3,1,0,0,1.285714,0,45,0,3,0,9,20,0,0,0,3256,0,3,3,0,0,16,3,False
1,4,1,30,764,0,5,5,35,0,120720,63,5,0,0,4305,1,0,0,1.0,0,0,0.0,0,0,0.2,5,0,5,0,0,0,4,14,0,1875,1.0,0,0,0,0,0,1.0,0,35,0,4,0,5,65,0,0,0,3256,0,4,1,0,0,40,1,False
1,10,1,30,764,0,11,11,35,0,120720,117,11,0,0,4305,1,0,0,1.0,0,0,0.111111,0,0,0.090909,11,0,11,0,0,0,5,29,1,5472,0.9,0,0,0,0,0,1.0,0,47,0,5,0,11,224,0,0,0,3256,0,5,1,0,0,75,1,False
0,9,0,30,764,46,25,26,35,4,120720,2396,30,22,5,4305,6,3,0,4.142857,6,2,0.073892,5,15,0.607143,30,0,93,0,0,0,14,29,0,7792,0.972906,3,21,0,25,1,3.4,1,2297,0,12,0,102,230,1,2,0,3256,129,10,87,22,0,163,21,True
1,6,1,30,764,0,7,7,35,0,120720,101,7,1,0,4305,1,0,0,1.0,0,2,0.0,0,0,0.142857,7,0,7,0,0,0,6,29,0,7792,1.0,0,0,0,0,0,1.0,0,53,0,6,0,7,230,0,0,0,3256,0,6,1,0,0,163,1,False
2,6,0,30,764,1,8,8,35,3,120720,48,8,1,0,4305,2,0,0,1.0,0,3,0.2,0,0,0.181818,8,0,14,0,0,0,6,52,1,7639,1.0,0,0,0,1,3,1.0,0,18,0,3,0,8,261,3,3,0,3256,5,3,2,2,0,239,2,False
0,0,0,30,764,14,0,5,35,1,120720,1217,7,2,7,4305,1,0,0,23.857143,0,3,0.3,7,17,1,7,0,38,0,0,0,1,52,0,7639,0.833333,0,7,0,2,1,23.857143,2,1217,0,1,0,167,261,1,0,0,3256,0,0,167,0,0,239,7,True
2,10,1,30,764,0,12,12,35,0,120720,125,12,0,0,4305,1,0,0,1.0,0,0,0.111111,0,0,0.166667,12,0,12,0,0,0,5,12,1,1908,0.909091,0,0,0,0,0,1.0,0,55,0,5,0,12,62,0,0,0,3256,0,5,2,0,0,40,2,False
1,6,1,30,764,0,7,7,35,0,120720,91,7,0,0,4305,1,0,0,1.0,0,0,0.0,0,0,0.142857,7,0,7,0,0,0,6,12,0,1908,1.0,0,0,0,0,0,1.0,0,49,0,6,0,7,62,0,0,0,3256,0,6,1,0,0,40,1,False
