number_constructor_NotDefaultConstructor_methods,NOAM_type,isStatic_type,NOI_project,NOCS_project,CFNAMM_type,number_not_final_not_static_methods,number_public_visibility_methods,NOPK_project,num_static_attributes,LOC_project,LOC_type,number_not_abstract_not_final_methods,CBO_type,number_not_final_static_methods,NOM_project,DIT_type,num_static_not_final_attributes,number_constructor_DefaultConstructor_methods,AMWNAMM_type,NOCS_type,NOI_package,TCC_type,number_static_methods,ATFD_type,WOC_type,NOM_type,number_final_not_static_methods,RFC_type,number_final_static_methods,number_protected_visibility_attributes,num_final_not_static_attributes,NOA_type,NOCS_package,NOII_type,LOC_package,LCOM5_type,number_protected_visibility_methods,number_standard_design_methods,NMO_type,FANOUT_type,num_final_attributes,AMW_type,number_private_visibility_methods,LOCNAMM_type,number_package_visibility_methods,number_private_visibility_attributes,number_package_visibility_attributes,WMC_type,NOM_package,num_final_static_attributes,NOPA_type,number_final_methods,NOMNAMM_project,NIM_type,num_not_final_not_static_attributes,WMCNAMM_type,NOC_type,number_abstract_methods,NOMNAMM_package,NOMNAMM_type,SMELLS
2,9,0,155,789,55,41,36,40,33,188289,3148,49,28,8,9246,1,3,0,7.651163,10,5,0.283391,9,37,0.717949,52,2,125,1,39,7,65,39,2,17417,0.970739,3,41,0,32,37,6.903846,8,2982,5,23,0,359,425,30,3,3,7348,0,25,329,0,0,360,43,False
1,0,1,155,789,0,1,0,40,10,188289,43,1,0,0,9246,1,0,0,1.0,0,5,1.0,0,0,0,1,0,1,0,0,3,13,39,0,17417,0.0,0,0,0,0,13,1.0,1,43,0,0,0,1,425,10,13,0,7348,0,0,1,0,0,360,1,False
1,7,0,155,789,65,31,15,40,21,188289,1801,31,24,0,9246,2,0,0,6.346154,3,5,0.301075,0,32,0.666667,33,2,145,0,34,12,47,39,3,17417,0.956782,17,25,6,18,33,5.515152,1,1668,0,13,0,182,425,21,0,2,7348,23,14,165,1,0,360,26,False
0,2,0,155,789,42,30,7,40,16,188289,1421,30,15,0,9246,1,0,0,8.25,0,5,0.283251,0,20,0,30,0,75,0,29,5,33,39,1,17417,0.951933,22,28,0,9,21,8.066667,1,1380,0,4,0,242,425,16,0,0,7348,0,12,231,2,0,360,28,False
1,10,0,155,789,82,52,46,40,14,188289,1662,53,25,1,9246,1,0,0,5.046512,0,2,0.477891,1,46,0.782609,53,0,138,0,25,4,40,19,3,8367,0.951442,4,42,0,12,18,4.283019,3,1562,0,15,0,227,299,14,0,0,7348,0,22,217,1,0,244,43,True
1,7,0,155,789,66,46,31,40,18,188289,2030,46,37,0,9246,1,0,0,6.047619,0,2,0.404878,0,70,0.806452,49,3,130,0,38,7,66,19,4,8367,0.958965,10,41,0,27,25,5.326531,7,1961,1,28,0,261,299,18,0,3,7348,0,41,254,2,0,244,42,True
1,8,0,155,789,0,9,9,40,0,188289,118,9,0,0,9246,1,0,0,1.0,0,1,0.142857,0,0,0.111111,9,0,9,0,4,0,4,84,1,26974,0.875,0,0,0,0,0,1.0,0,6,0,0,0,9,1159,0,0,0,7348,0,4,1,0,0,888,1,False
5,16,0,155,789,0,21,21,40,0,188289,335,21,0,0,9246,1,0,0,1.0,0,1,0.066667,0,0,0.238095,21,0,21,0,8,0,8,84,1,26974,0.95,0,0,0,0,0,1.0,0,121,0,0,0,21,1159,0,0,0,7348,0,8,5,0,0,888,5,True
4,4,0,155,789,31,60,12,40,1,188289,1399,60,43,0,9246,5,0,0,3.678571,2,1,0.337979,0,23,1,60,0,348,0,6,0,8,84,3,26974,0.915254,11,52,26,15,1,3.583333,14,1339,23,0,2,215,1159,1,0,0,7348,181,7,206,4,0,888,56,True
5,6,0,155,789,0,11,11,40,0,188289,127,11,0,0,9246,1,0,0,1.0,0,1,0.0,0,0,0.294118,11,0,11,0,0,0,6,84,1,26974,1.0,0,0,0,0,0,1.0,0,77,0,0,0,11,1159,0,6,0,7348,0,6,5,0,0,888,5,False
4,12,0,155,789,3,16,16,40,0,188289,214,16,1,0,9246,1,0,0,1.0,0,14,0.090909,0,0,0.25,16,0,19,0,6,0,6,3,0,1026,0.933333,0,0,0,1,0,1.0,0,108,0,0,0,16,76,0,0,0,7348,0,6,4,5,0,39,4,False
2,6,0,155,789,161,119,10,40,40,188289,4156,119,84,0,9246,1,0,0,6.324561,3,0,0.4,0,142,0.466667,120,1,345,0,20,0,120,29,0,11366,0.983053,13,112,0,68,40,6.075,78,4115,19,62,33,729,285,40,5,1,7348,0,80,721,0,0,275,114,True
1,1,0,155,789,26,10,8,40,96,188289,1648,11,24,1,9246,1,3,0,16.2,0,0,0.472222,1,146,0.166667,11,0,39,0,32,0,103,29,0,11366,1.0,1,9,0,16,93,15.0,1,1624,1,27,4,165,285,93,40,0,7348,0,7,162,0,0,275,10,False
3,9,0,155,789,1,12,12,40,0,188289,131,12,1,0,9246,2,0,0,2.0,0,1,0.611111,0,5,0.25,12,0,25,0,0,0,2,57,0,11604,0.681818,0,0,5,1,0,1.75,0,17,0,2,0,21,580,0,0,0,7348,7,2,6,0,0,484,3,False
1,4,0,155,789,23,20,13,40,12,188289,1078,20,17,0,9246,1,0,0,11.0,1,2,0.484848,0,49,0.692308,20,0,52,0,13,2,19,34,2,9229,0.908587,0,15,0,16,14,10.55,7,852,0,6,0,211,318,12,0,0,7348,0,5,176,0,0,256,16,False
1,0,0,155,789,18,17,10,40,3,188289,1128,17,17,0,9246,1,1,0,8.352941,1,1,0.454545,0,13,1,17,0,42,0,0,0,17,10,1,2359,0.886029,0,16,0,10,2,8.352941,5,1128,2,17,0,142,91,2,0,0,7348,0,14,142,0,0,80,17,False
1,8,0,155,789,137,62,33,40,49,188289,4491,62,78,0,9246,1,0,0,8.418182,9,0,0.375758,0,174,0.72973,63,1,231,0,63,16,132,49,4,15070,0.972752,0,54,0,54,65,7.666667,7,4361,23,59,6,483,750,49,4,1,7348,0,67,463,0,0,601,55,True
0,0,0,65,606,2,2,2,85,0,69698,14,2,5,0,5527,1,0,0,1.0,0,3,0.0,0,3,1,2,0,6,0,0,0,0,3,1,608,0.0,0,2,0,2,0,1.0,0,14,0,0,0,2,50,0,0,0,2783,0,0,2,0,0,40,2,True
1,6,0,65,606,4,10,10,85,0,69698,78,10,7,0,5527,2,0,0,1.0,0,0,0.166667,0,2,0.4,10,0,20,0,0,0,4,2,0,145,0.861111,0,3,0,4,0,1.0,0,33,0,4,0,10,14,0,0,0,2783,4,4,4,0,0,8,4,True
1,22,0,65,606,0,23,17,85,2,69698,292,23,0,0,5527,1,0,0,1.0,0,0,0.044118,0,0,0,23,0,23,0,0,0,13,2,0,475,0.968531,1,0,0,0,2,1.0,5,69,0,11,0,23,43,2,2,0,2783,0,11,1,0,0,5,1,False
0,22,0,65,606,0,23,23,85,1,69698,224,23,0,0,5527,1,0,1,0.0,0,0,0.047619,0,0,0,22,0,22,0,0,0,12,1,0,224,0.960317,0,0,0,0,1,1.0,0,8,0,11,0,22,22,1,1,0,2783,0,11,0,0,0,0,0,False
0,10,0,65,606,0,11,11,85,3,69698,89,11,0,0,5527,1,0,1,0.0,0,0,0.111111,0,0,0,10,0,10,0,0,0,8,9,0,1119,0.972222,0,0,0,0,3,1.0,0,9,0,5,0,10,136,3,3,0,2783,0,5,0,0,0,10,0,False
1,14,0,65,606,0,15,15,85,4,69698,115,15,0,0,5527,1,0,0,1.0,0,0,0.076923,0,0,0.052632,15,0,15,0,0,0,11,9,0,1119,0.980519,0,0,0,0,4,1.0,0,3,0,7,0,15,136,4,4,0,2783,0,7,1,0,0,10,1,False
0,8,0,65,606,0,9,9,85,2,69698,70,9,0,0,5527,1,0,1,0.0,0,0,0.142857,0,0,0,8,0,8,0,0,0,6,9,0,1119,0.952381,0,0,0,0,2,1.0,0,6,0,4,0,8,136,2,2,0,2783,0,4,0,0,0,10,0,False
0,17,0,65,606,103,74,70,85,1,69698,1890,75,43,1,5527,1,1,0,4.913793,1,2,0.402899,1,110,0.757143,75,0,264,0,0,0,15,6,1,2701,0.926126,0,58,0,38,0,4.026667,5,1767,0,15,0,302,156,0,0,0,2783,0,14,285,0,0,126,58,True
1,18,0,65,606,96,82,68,85,0,69698,1817,82,48,0,5527,1,0,0,4.421875,0,4,0.41396,0,90,0.735294,82,0,249,0,0,0,19,3,1,2443,0.905783,1,63,0,39,0,3.682927,13,1678,0,19,0,302,144,0,0,0,2783,0,19,283,0,0,126,64,True
2,12,0,54,465,5,26,26,22,29,171667,1055,35,2,9,7652,1,1,0,6.1,0,1,0.224638,9,10,0.368421,42,7,47,0,0,0,54,3,1,1190,0.978771,0,28,0,2,28,4.642857,16,986,0,42,0,195,56,28,12,7,6749,0,25,183,0,0,44,30,False
1,0,0,54,465,36,36,42,22,0,171667,1527,43,37,7,7652,3,0,0,7.488372,0,3,0.063879,7,47,0.976744,43,0,183,0,0,1,1,28,0,12014,0.833333,0,42,10,10,1,7.488372,0,1527,1,0,0,322,710,0,1,0,6749,87,0,322,0,0,660,43,False
1,0,0,54,465,90,10,0,22,0,171667,1147,11,77,1,7652,3,0,0,14.636364,0,12,0.0,1,89,0,11,0,427,0,0,0,0,106,0,69768,0.0,0,10,0,30,0,14.636364,2,1147,9,0,0,161,2620,0,0,0,6749,183,0,161,1,0,2196,11,False
2,10,0,54,465,152,66,23,22,1,171667,2216,67,56,1,7652,2,0,0,7.035088,0,12,0.414966,1,100,0.484848,67,0,268,0,0,0,36,106,0,69768,0.919613,0,55,28,38,1,6.298507,16,2100,28,19,7,422,2620,1,10,0,6749,20,35,401,0,0,2196,57,False
7,1,0,54,465,63,35,6,22,0,171667,1836,37,56,2,7652,2,0,0,12.916667,0,12,0.005848,2,68,0.833333,37,0,219,0,0,0,2,106,0,69768,1.0,1,29,7,19,0,12.648649,11,1825,19,0,2,468,2620,0,0,0,6749,71,2,465,1,0,2196,36,False
1,1,0,54,465,69,6,8,22,67,171667,2084,10,68,4,7652,3,0,0,56.0,0,12,0.277778,4,181,0.583333,10,0,237,0,0,0,70,106,0,69768,0.844444,0,8,5,28,67,50.8,1,2043,1,64,2,508,2620,67,4,0,6749,79,3,504,0,0,2196,9,False
1,0,0,54,465,193,84,0,22,3,171667,4973,86,108,2,7652,5,0,0,8.081395,0,12,0.005445,2,332,0,86,0,755,0,0,0,3,106,0,69768,0.968627,0,85,1,50,3,8.081395,27,4973,59,0,3,695,2620,3,0,0,6749,220,0,695,1,0,2196,86,True
2,13,0,54,465,0,20,17,22,0,171667,99,20,2,0,7652,1,0,0,1.142857,0,12,0.130719,0,2,0.352941,20,0,20,0,4,0,10,106,0,69768,0.942105,2,5,0,0,0,1.05,0,32,1,6,0,21,2620,0,0,0,6749,0,10,8,1,0,2196,7,False
3,14,0,54,465,75,74,23,22,13,171667,1854,81,48,7,7652,1,0,0,5.507463,0,12,0.43956,7,79,0.814815,81,0,163,0,5,0,28,106,1,69768,0.956696,1,64,1,32,13,4.814815,0,1731,57,1,18,390,2620,13,4,0,6749,0,15,369,12,0,2196,67,False
4,2,0,54,465,99,16,3,22,0,171667,1268,19,52,3,7652,2,0,0,14.411765,0,12,0.285714,3,123,1,19,0,181,0,0,0,4,106,0,69768,1.0,0,13,1,41,0,13.526316,8,1217,8,0,4,257,2620,0,0,0,6749,33,4,245,1,0,2196,17,False
2,1,0,54,465,0,3,0,22,8,171667,47,3,1,0,7652,1,0,0,1.0,0,12,1.0,0,0,0,3,0,3,0,0,0,17,106,0,69768,1.0,0,0,0,0,8,1.0,0,33,3,0,9,3,2620,8,8,0,6749,0,9,2,1,0,2196,2,False
5,0,0,54,465,77,19,1,22,0,171667,1261,22,57,3,7652,3,0,0,9.0,0,12,0.073529,3,77,1,22,0,224,0,0,0,4,106,0,69768,0.952381,0,17,0,31,0,9.0,0,1261,21,0,4,198,2620,0,0,0,6749,58,4,198,2,0,2196,22,False
2,31,0,54,465,42,61,57,22,9,171667,1012,67,36,6,7652,1,0,0,3.972222,0,12,0.15625,6,63,0.430769,67,0,123,0,0,1,40,106,1,69768,0.972348,0,34,0,25,10,2.597015,1,849,9,4,28,174,2620,9,8,0,6749,0,30,143,0,0,2196,36,False
1,0,0,54,465,158,73,0,22,1,171667,6908,73,73,0,7652,3,0,0,6.794521,0,0,0.006036,0,123,0,73,0,396,0,0,0,1,4,0,10893,0.944444,1,72,1,49,1,6.794521,1,6908,71,0,1,496,123,1,0,0,6749,34,0,496,0,0,121,73,False
1,10,0,54,465,43,61,46,22,1,171667,1606,61,21,0,7652,1,0,0,4.235294,1,1,0.235028,0,25,0.782609,61,0,110,0,5,14,22,5,1,2931,0.960606,0,50,0,15,15,3.704918,0,1544,15,8,9,226,188,1,0,0,6749,0,7,216,1,0,168,51,False
1,0,0,90,338,57,9,8,29,3,92696,429,9,26,0,5983,1,2,0,5.555556,0,0,0.642857,0,36,1,9,0,75,0,0,0,4,21,0,9721,0.78125,0,8,0,23,1,5.555556,0,429,1,4,0,50,166,1,0,0,4284,0,1,50,0,0,165,9,True
1,1,0,90,338,137,3,3,29,2,92696,413,3,22,0,5983,1,1,0,67.5,0,0,1.0,0,8,0.666667,3,0,140,0,5,1,18,21,1,9721,0.972222,0,1,0,21,2,45.333333,0,407,0,13,0,136,166,1,0,0,4284,0,15,135,0,0,165,2,False
0,4,0,90,338,0,5,2,29,0,92696,20,5,0,0,5983,1,0,1,0.0,0,7,0.333333,0,0,0,4,0,4,0,0,0,2,22,0,6260,0.666667,0,0,0,0,0,1.0,0,0,3,0,2,4,600,0,0,0,4284,0,2,0,0,0,492,0,False
0,6,0,90,338,0,7,7,29,0,92696,28,7,0,0,5983,1,0,1,0.0,0,7,0.2,0,0,0,6,0,6,0,0,0,3,22,0,6260,0.8,0,0,0,0,0,1.0,0,28,0,3,0,6,600,0,0,0,4284,0,3,0,0,0,492,0,True
1,0,0,90,338,0,1,0,29,17,92696,69,1,0,0,5983,1,0,0,1.0,0,1,1.0,0,0,0,1,0,1,0,0,0,17,11,0,3562,0.0,0,0,0,0,17,1.0,1,69,0,0,0,1,432,17,17,0,4284,0,0,1,0,0,431,1,True
1,0,0,90,338,0,1,0,29,42,92696,79,1,0,0,5983,1,0,0,1.0,0,1,1.0,0,0,0,1,0,1,0,0,0,42,11,0,3562,0.0,0,0,0,0,42,1.0,1,79,0,0,0,1,432,42,42,0,4284,0,0,1,0,0,431,1,True
0,14,0,90,338,0,15,15,29,0,92696,59,15,0,0,5983,1,0,1,0.0,0,20,0.076923,0,0,0,14,0,14,0,0,0,7,32,0,5272,0.923077,0,0,0,0,0,1.0,0,59,0,7,0,14,1009,0,0,0,4284,0,7,0,0,0,426,0,True
0,42,0,90,338,0,43,43,29,5,92696,204,43,1,0,5983,1,0,1,0.0,0,20,0.02439,0,0,0,42,0,42,0,0,0,26,32,0,5272,0.984991,0,0,0,0,5,1.0,0,204,0,21,0,42,1009,5,5,0,4284,0,21,0,0,0,426,0,False
0,14,0,90,338,0,14,14,29,0,92696,59,14,0,0,5983,1,0,0,0.0,0,20,0.076923,0,0,0,14,0,14,0,0,0,7,32,0,5272,0.923077,0,0,0,0,0,1.0,0,59,0,7,0,14,1009,0,0,0,4284,0,7,0,0,0,426,0,False
2,6,0,38,497,4,8,8,24,0,117757,85,8,13,0,5768,3,0,0,2.0,0,0,0.0,0,4,0.25,8,0,58,0,0,0,0,6,0,453,0.0,0,0,0,3,0,1.25,0,21,0,0,0,10,35,0,0,0,4374,43,0,4,0,0,20,2,False
1,20,0,38,497,2,24,25,24,1,117757,214,25,3,1,5768,1,0,0,1.6,0,0,0.202899,1,2,0.192308,25,0,29,0,0,0,11,24,0,3513,0.882576,0,4,1,1,1,1.12,0,114,0,10,0,28,212,1,1,0,4374,0,10,8,0,0,154,5,True
1,6,0,38,497,2,7,7,24,0,117757,77,7,15,0,5768,3,0,0,1.0,0,0,0.0,0,6,0.142857,7,0,55,0,0,0,0,13,0,738,0.0,0,0,0,1,0,1.0,0,3,0,0,0,7,62,0,0,0,4374,43,0,1,0,0,23,1,False
1,6,0,38,497,2,7,7,24,0,117757,76,7,14,0,5768,3,0,0,1.0,0,0,0.0,0,6,0.142857,7,0,55,0,0,0,0,13,0,738,0.0,0,0,0,1,0,1.0,0,3,0,0,0,7,62,0,0,0,4374,43,0,1,0,0,23,1,False
2,54,0,38,497,49,89,102,24,25,117757,1950,105,38,16,5768,2,1,0,3.960784,0,8,0.04601,16,14,0,105,0,154,0,34,0,65,42,0,13290,0.993047,2,49,0,27,24,2.504762,1,1339,0,6,1,263,817,24,24,0,4374,0,40,202,7,0,592,51,False
1,0,0,38,497,1,1,1,24,15,117757,38,1,3,0,5768,5,0,0,1.0,0,0,1.0,0,0,0.066667,1,0,12,0,0,0,15,10,0,916,0.0,0,0,0,1,15,1.0,0,38,0,1,0,1,55,15,14,0,4374,63,0,1,0,0,53,1,False
2,9,0,38,497,1,12,12,24,0,117757,147,12,2,0,5768,1,0,0,1.0,0,4,0.0,0,0,0.25,12,0,13,0,0,0,10,54,0,2936,1.0,0,1,0,1,0,1.0,0,57,0,0,10,12,197,0,0,0,4374,0,10,3,0,0,179,3,True
1,37,0,38,497,56,57,56,24,16,117757,1562,63,23,6,5768,1,0,0,8.307692,0,11,0.311475,6,63,0.289855,63,0,168,0,32,0,55,245,0,73431,0.959531,6,25,0,20,16,4.174603,1,1079,0,10,0,263,3557,16,13,0,4374,0,39,216,0,0,2644,26,False
1,18,0,38,497,178,62,18,24,0,117757,1635,64,93,2,5768,3,0,0,7.282609,1,11,0.330216,2,126,0.444444,64,0,555,0,14,0,22,245,0,73431,0.955267,4,45,17,50,0,5.8125,4,1395,38,1,7,372,3557,0,0,0,4374,154,22,335,0,0,2644,46,False
1,25,0,38,497,227,76,18,24,2,117757,2345,76,65,0,5768,2,0,0,7.117647,4,11,0.405045,0,163,0.722222,76,0,420,0,45,0,49,245,0,73431,0.961088,11,50,10,60,2,5.171053,0,2147,47,1,3,393,3557,2,0,0,4374,35,47,363,0,0,2644,51,False
2,8,0,38,497,47,40,12,24,1,117757,1513,42,29,2,5768,2,0,0,7.352941,3,11,0.356275,2,26,0.5,42,0,167,0,27,0,28,245,0,73431,0.924216,14,32,1,20,1,6.5,1,1371,15,0,1,273,3557,1,0,0,4374,67,27,250,2,0,2644,34,False
12,19,0,38,497,133,114,101,24,4,117757,3585,138,39,24,5768,1,1,0,5.858333,1,11,0.468492,24,169,0.833333,139,1,302,0,28,0,46,245,1,73431,0.977158,21,108,0,35,3,5.338129,9,3336,8,13,4,742,3557,3,1,1,4374,0,42,703,1,0,2644,120,False
0,4,0,30,764,0,7,7,35,0,120720,79,7,0,0,4305,1,0,0,1.0,0,0,0.238095,0,0,0.428571,7,0,7,0,0,0,3,6,1,467,0.777778,0,3,1,0,0,1.285714,0,45,0,3,0,9,20,0,0,0,3256,0,3,3,0,0,16,3,True
1,4,1,30,764,0,5,5,35,0,120720,63,5,0,0,4305,1,0,0,1.0,0,0,0.0,0,0,0.2,5,0,5,0,0,0,4,14,0,1875,1.0,0,0,0,0,0,1.0,0,35,0,4,0,5,65,0,0,0,3256,0,4,1,0,0,40,1,False
1,10,1,30,764,0,11,11,35,0,120720,117,11,0,0,4305,1,0,0,1.0,0,0,0.111111,0,0,0.090909,11,0,11,0,0,0,5,29,1,5472,0.9,0,0,0,0,0,1.0,0,47,0,5,0,11,224,0,0,0,3256,0,5,1,0,0,75,1,True
0,9,0,30,764,46,25,26,35,4,120720,2396,30,22,5,4305,6,3,0,4.142857,6,2,0.073892,5,15,0.607143,30,0,93,0,0,0,14,29,0,7792,0.972906,3,21,0,25,1,3.4,1,2297,0,12,0,102,230,1,2,0,3256,129,10,87,22,0,163,21,True
1,6,1,30,764,0,7,7,35,0,120720,101,7,1,0,4305,1,0,0,1.0,0,2,0.0,0,0,0.142857,7,0,7,0,0,0,6,29,0,7792,1.0,0,0,0,0,0,1.0,0,53,0,6,0,7,230,0,0,0,3256,0,6,1,0,0,163,1,True
2,6,0,30,764,1,8,8,35,3,120720,48,8,1,0,4305,2,0,0,1.0,0,3,0.2,0,0,0.181818,8,0,14,0,0,0,6,52,1,7639,1.0,0,0,0,1,3,1.0,0,18,0,3,0,8,261,3,3,0,3256,5,3,2,2,0,239,2,False
0,0,0,30,764,14,0,5,35,1,120720,1217,7,2,7,4305,1,0,0,23.857143,0,3,0.3,7,17,1,7,0,38,0,0,0,1,52,0,7639,0.833333,0,7,0,2,1,23.857143,2,1217,0,1,0,167,261,1,0,0,3256,0,0,167,0,0,239,7,False
2,10,1,30,764,0,12,12,35,0,120720,125,12,0,0,4305,1,0,0,1.0,0,0,0.111111,0,0,0.166667,12,0,12,0,0,0,5,12,1,1908,0.909091,0,0,0,0,0,1.0,0,55,0,5,0,12,62,0,0,0,3256,0,5,2,0,0,40,2,False
1,6,1,30,764,0,7,7,35,0,120720,91,7,0,0,4305,1,0,0,1.0,0,0,0.0,0,0,0.142857,7,0,7,0,0,0,6,12,0,1908,1.0,0,0,0,0,0,1.0,0,49,0,6,0,7,62,0,0,0,3256,0,6,1,0,0,40,1,True
1,0,0,30,764,61,9,3,35,1,120720,2412,9,16,0,4305,2,1,0,24.111111,1,0,0.333333,0,28,1,9,0,85,0,0,0,7,10,0,3195,0.928571,1,8,0,13,0,24.111111,4,2412,1,7,0,217,67,0,0,0,3256,8,6,217,0,0,52,9,True
2,6,1,30,764,0,8,8,35,0,120720,81,8,0,0,4305,1,0,0,1.0,0,0,0.2,0,0,0.25,8,0,8,0,0,0,3,20,1,2505,0.857143,0,0,0,0,0,1.0,0,39,0,3,0,8,75,0,0,0,3256,0,3,2,0,0,63,2,True
1,23,0,30,764,71,87,86,35,8,120720,1494,93,38,6,4305,1,8,0,3.628571,7,2,0.347339,6,27,0.744186,93,0,202,0,0,0,33,17,0,4016,0.961792,0,69,0,35,0,3.107527,7,1324,0,33,0,289,326,0,0,0,3256,0,25,254,0,0,203,70,True
0,0,0,30,764,23,3,4,35,2,120720,5126,7,25,4,4305,7,1,0,25.857143,11,0,0.0,4,34,0.8,7,0,134,0,0,0,9,33,0,6189,1.0,0,7,1,9,1,25.857143,3,5126,0,8,0,181,111,1,1,0,3256,158,7,181,0,0,103,7,True
0,0,0,30,764,25,3,4,35,2,120720,5349,8,25,5,4305,7,1,0,23.125,11,0,0.0,5,34,0.8,8,0,134,0,0,0,9,41,0,6405,1.0,0,8,1,11,1,23.125,4,5349,0,8,0,185,121,1,1,0,3256,158,7,185,0,0,113,8,True
0,2,0,87,795,1,5,5,108,0,25691,26,5,1,0,4165,1,0,0,1.333333,0,0,0.2,0,1,0.6,5,0,7,0,0,0,2,4,2,87,0.75,0,3,0,1,0,1.2,0,15,0,0,2,6,17,0,0,0,3476,0,2,4,0,0,12,3,True
0,0,0,87,795,1,7,7,108,0,25691,44,7,0,0,4165,1,0,0,1.285714,1,0,0.0,0,0,1,7,0,8,0,0,0,0,4,1,87,0.0,0,7,0,1,0,1.285714,0,44,0,0,0,9,17,0,0,0,3476,0,0,9,0,0,12,7,True
0,7,0,87,795,0,8,8,108,0,25691,32,8,0,0,4165,1,0,0,1.0,0,3,0.142857,0,0,0.125,8,0,8,0,0,0,4,31,1,423,0.857143,0,1,0,0,0,1.0,0,32,0,4,0,8,87,0,0,0,3476,0,4,1,0,0,23,1,True
